time (cs),x_acceleration(g)
2,-0.0024683563970029354
4,-0.0024683563970029354
6,-0.07084183394908905
8,0.02497193031013012
10,-0.0007405069191008806
12,-0.02715192176401615
14,0.028851065784692764
16,-0.03455699235200882
18,-0.04171522334218025
20,0.02521437592804432
22,-0.018512673676013947
24,0.022062579169869423
26,-0.017772166058421135
28,-0.05109497904777527
30,0.026669051498174667
32,-0.013082289136946201
34,-0.05257599055767059
36,-0.00814557634294033
38,0.001212229602970183
40,0.0016971214208751917
42,-0.007651905063539743
44,-0.05701903626322746
46,-0.0014810138382017612
48,-0.0004936712794005871
50,0.00024244592350441962
52,-0.0029620276764035225
54,-0.00024683563970029354
56,-0.002221520757302642
58,-0.0019746851176023483
60,-0.0012341781985014677
62,-0.002715192036703229
64,-0.0019746851176023483
66,-0.00024683563970029354
68,-0.0024683563970029354
70,-0.003208863316103816
72,-0.0009873425588011742
74,-0.0024683563970029354
76,-0.0007405069191008806
78,-0.0009873425588011742
80,-0.0014810138382017612
82,-0.0019746851176023483
84,-0.0012341781985014677
86,-0.0024683563970029354
88,-0.0019746851176023483
90,-0.0007405069191008806
92,-0.0014810138382017612
94,-0.06072157248854637
96,-0.00024683563970029354
98,-0.013575960882008076
100,-0.012341782450675964
102,0.0046064723283052444
104,-0.0024683563970029354
106,-0.0
108,-0.004196206107735634
110,-0.0029620276764035225
112,0.001939567388035357
114,-0.007898740470409393
116,-0.002715192036703229
118,0.02303236350417137
120,0.06036903336644173
122,-0.013575960882008076
124,0.011879850178956985
126,0.01624387688934803
128,-0.01826583780348301
130,-0.056031692773103714
132,-0.013575960882008076
134,0.0029093509074300528
136,-0.0024683563970029354
138,-0.008639248088002205
140,-0.06170890852808952
142,0.0029093509074300528
144,-0.008639248088002205
146,-0.0
148,0.00048489184700883925
150,-0.004196206107735634
152,-0.0019746851176023483
154,-0.005924055352807045
156,-0.003208863316103816
158,-0.0012341781985014677
160,-0.0029620276764035225
162,0.00048489184700883925
164,-0.0014810138382017612
166,-0.002715192036703229
168,-0.0009873425588011742
170,-0.0012341781985014677
172,-0.002221520757302642
174,-0.002221520757302642
176,-0.0014810138382017612
178,-0.0009873425588011742
180,-0.0017278495943173766
182,-0.0017278495943173766
184,-0.0009873425588011742
186,-0.0009873425588011742
188,-0.0019746851176023483
190,-0.0019746851176023483
192,-0.0014810138382017612
194,-0.0012341781985014677
196,-0.0034556991886347532
198,-0.0012341781985014677
200,-0.0017278495943173766
202,-0.002221520757302642
204,-0.0017278495943173766
206,-0.0009873425588011742
208,-0.002221520757302642
210,-0.0019746851176023483
212,-0.0004936712794005871
214,-0.0007405069191008806
216,-0.0017278495943173766
218,-0.0009873425588011742
220,-0.0014810138382017612
222,-0.0014810138382017612
224,-0.0019746851176023483
226,-0.0009873425588011742
228,-0.0
230,-0.0024683563970029354
232,-0.0014810138382017612
234,-0.0007405069191008806
236,-0.0017278495943173766
238,-0.0012341781985014677
240,-0.0029620276764035225
242,-0.002221520757302642
244,-0.0009873425588011742
246,-0.002715192036703229
248,-0.0007405069191008806
250,-0.0007405069191008806
252,-0.0024683563970029354
254,-0.0009873425588011742
256,-0.0024683563970029354
258,-0.0017278495943173766
260,-0.0014810138382017612
262,-0.0017278495943173766
264,-0.0014810138382017612
266,-0.0014810138382017612
268,-0.002221520757302642
270,-0.0012341781985014677
272,-0.002221520757302642
274,-0.0017278495943173766
276,-0.0014810138382017612
278,-0.0017278495943173766
280,-0.0014810138382017612
282,-0.0014810138382017612
284,-0.0014810138382017612
286,-0.0017278495943173766
288,-0.0019746851176023483
290,-0.002221520757302642
292,-0.0012341781985014677
294,-0.0014810138382017612
296,-0.0017278495943173766
298,-0.0017278495943173766
300,-0.0012341781985014677
302,-0.0024683563970029354
304,-0.0007405069191008806
306,-0.0012341781985014677
308,-0.0014810138382017612
310,-0.0014810138382017612
312,-0.002221520757302642
314,-0.0012341781985014677
316,-0.0014810138382017612
318,-0.0019746851176023483
320,-0.0014810138382017612
322,-0.0019746851176023483
324,-0.0024683563970029354
326,-0.0012341781985014677
328,-0.0014810138382017612
330,-0.0017278495943173766
332,-0.0017278495943173766
334,-0.0014810138382017612
336,-0.0019746851176023483
338,-0.0014810138382017612
340,-0.0014810138382017612
342,-0.0012341781985014677
344,-0.002221520757302642
346,-0.0014810138382017612
348,-0.0009873425588011742
350,-0.0014810138382017612
352,-0.002221520757302642
354,-0.0014810138382017612
356,-0.0009873425588011742
358,-0.0017278495943173766
360,-0.0012341781985014677
362,-0.0012341781985014677
364,-0.0019746851176023483
366,-0.0014810138382017612
368,-0.0014810138382017612
370,-0.0007405069191008806
372,-0.0019746851176023483
374,-0.0012341781985014677
376,-0.0012341781985014677
378,-0.0012341781985014677
380,-0.0012341781985014677
382,-0.002221520757302642
384,-0.003208863316103816
386,-0.0024683563970029354
388,-0.002221520757302642
390,-0.0017278495943173766
392,-0.0017278495943173766
394,-0.0012341781985014677
396,-0.0019746851176023483
398,-0.0012341781985014677
400,-0.0017278495943173766
2,-0.0009873425588011742
4,-0.0012341781985014677
6,-0.0019746851176023483
8,-0.0007405069191008806
10,-0.002715192036703229
12,-0.0012341781985014677
14,-0.0004936712794005871
16,-0.0019746851176023483
18,-0.002221520757302642
20,-0.0012341781985014677
22,-0.0017278495943173766
24,-0.0012341781985014677
26,-0.0004936712794005871
28,-0.0019746851176023483
30,-0.0004936712794005871
32,-0.0019746851176023483
34,-0.0019746851176023483
36,-0.0
38,-0.0019746851176023483
40,-0.0
42,-0.0012341781985014677
44,-0.0029620276764035225
46,-0.0007405069191008806
48,-0.0019746851176023483
50,-0.0004936712794005871
52,-0.0
54,-0.003208863316103816
56,-0.0014810138382017612
58,-0.0004936712794005871
60,-0.002715192036703229
62,-0.0014810138382017612
64,-0.0029620276764035225
66,-0.0004936712794005871
68,-0.0007405069191008806
70,-0.003208863316103816
72,-0.0009873425588011742
74,-0.0009873425588011742
76,-0.002221520757302642
78,-0.002221520757302642
80,-0.0034556991886347532
82,0.001212229602970183
84,-0.0017278495943173766
86,-0.003208863316103816
88,-0.0007405069191008806
90,-0.003208863316103816
92,-0.0014810138382017612
94,-0.0009873425588011742
96,-0.0012341781985014677
98,-0.0014810138382017612
100,-0.0024683563970029354
102,-0.0014810138382017612
104,-0.0014810138382017612
106,-0.002715192036703229
108,-0.0009873425588011742
